orderCreatedAt,id,clientOid,symbol,side,type,stopPrice,price,size,dealSize,dealFunds,averagePrice,fee,feeCurrency,remark,tags,orderStatus,
2021-11-30 07:25:25,61a561652f3c630001526ae6,,ETH-USDT,sell,limit,0,4452,0.0048877,0.0048877,21.762435373,4452.49,0.021762435373,USDT,,,done,
2021-10-04 20:17:22,615af0d2c975c9000113d9d4,,XMR-USDT,sell,limit,0,254.51,0.9,0.9,229.221,254.69,0.229221,USDT,,,done,
